Name,Food_Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg)
Chicken Meatless Breaded Fried,Beans and Lentils,234,12.77,21.28,8.51,0,4.3,0,1.13,42,3.83,300,12,0,0,0,5.11,0,1.95
Beans Black Turtle Mature Seeds Raw,Beans and Lentils,339,0.9,21.25,63.25,2.12,15.5,0,0.232,160,8.7,1500,160,17,0,0,0,0,0.21
Nuts Almonds Oil Roasted Lightly Salted,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.207,291,3.68,699,274,1,NULL,0,0,NULL,25.97
Nuts Almonds Oil Roasted With Salt Added,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.208,291,3.68,699,274,1,0,0,0,0,25.97
Nuts Almonds Oil Roasted Without Salt Added,Nuts and Seeds,607,55.17,21.23,17.68,4.55,10.5,0,4.208,291,3.68,699,274,1,0,0,0,0,25.97
Dried Chives,Vegetables,311,3.5,21.2,64.29,NULL,26.2,0,0.591,813,20,2960,640,68300,3415,660,0,0,NULL
Almonds,Nuts and Seeds,579,49.93,21.15,21.55,4.35,12.5,0,3.802,269,3.71,733,270,2,0,0,0,0,25.63
Beans Small White Mature Seeds Raw,Beans and Lentils,336,1.18,21.11,62.25,NULL,24.9,0,0.304,173,7.73,1542,183,0,0,0,0,0,NULL
Dry Roasted Pistachio Nuts,Nuts and Seeds,572,45.82,21.05,28.28,7.74,10.3,0,5.645,107,4.03,1007,109,266,13,3,0,0,2.17
Nuts Pistachio Nuts Dry Roasted With Salt Added,Nuts and Seeds,569,45.82,21.05,27.55,7.74,10.3,0,5.645,107,4.03,1007,109,266,13,3,0,0,2.17
Meatballs Meatless,Beans and Lentils,197,9,21,8,1.25,4.6,0,1.425,25,2.16,180,18,0,0,0,1.5,0,1.73
Vegetarian Meatloaf Or Patties,Beans and Lentils,197,9,21,8,1.2,4.6,0,1.425,29,2.1,180,18,0,0,0,2.4,0,1.73
Beans Pink Mature Seeds Raw,Beans and Lentils,343,1.13,20.96,64.19,2.14,12.7,0,0.292,130,6.77,1464,182,0,0,0,0,0,0.21
Almond Butter,Nuts and Seeds,614,55.5,20.96,18.82,4.43,10.3,0,4.152,347,3.49,748,279,1,0,0,0,0,24.21
Nuts Almond Butter Plain With Salt Added,Nuts and Seeds,614,55.5,20.96,18.82,6.27,10.3,0,6.55,347,3.49,748,279,1,0,0,0,0,24.21
Nuts Almonds Dry Roasted With Salt Added,Nuts and Seeds,598,52.54,20.96,21.01,4.86,10.9,0,4.092,268,3.73,713,279,1,0,0,0,0,23.9
Dry Roasted Almonds,Nuts and Seeds,598,52.54,20.96,21.01,4.86,10.9,0,4.092,268,3.73,713,279,1,0,0,0,0,23.9
Dried Sunflower Seeds,Nuts and Seeds,584,51.46,20.78,20,2.62,8.6,0,4.455,78,5.25,645,325,50,3,1.4,0,0,35.17
Lima Beans Thin Seeded (Baby) Mature Seeds Raw,Beans and Lentils,335,0.93,20.62,62.83,8.32,20.6,0,0.219,81,6.19,1403,188,0,0,0,0,0,0.7
Chickpeas (Garbanzo Beans Bengal Gram) Mature Seeds Raw,Beans and Lentils,378,6.04,20.47,62.95,10.7,12.2,0,0.603,57,4.31,718,79,67,3,4,0,0,0.82
Seeds Sesame Seed Kernels Dried (Decorticated),Nuts and Seeds,631,61.21,20.45,11.73,0.48,11.6,0,9.055,60,6.36,370,345,66,3,0,0,0,1.68
Pistachio Nuts Unsalted,Nuts and Seeds,581,47.44,20.42,27.43,7.51,10,0,5.886,104,3.91,977,106,NULL,13,2.9,0,0,2.46
Almonds Unsalted,Nuts and Seeds,607,53.96,20.33,20.38,4.71,10.6,0,4.38,260,3.62,692,271,NULL,0,0,0,0,23.54
Pistachio Nuts Lightly Salted,Nuts and Seeds,579,47.21,20.32,27.3,7.47,9.9,0,5.857,103,3.9,972,105,NULL,13,2.9,0,0,2.44
Tempeh,Beans and Lentils,192,10.8,20.29,7.64,NULL,NULL,0,2.539,111,2.7,412,81,0,0,0,0.08,0,NULL
Sausage Meatless,Beans and Lentils,255,18.16,20.28,8.09,0,2.8,0,2.926,63,3.72,231,36,0,0,0,0,0,2.1
Pistachio Nuts Salted,Nuts and Seeds,576,46.98,20.22,27.16,7.43,9.9,0,5.828,103,3.88,967,105,NULL,12,2.9,0,0,2.43
Pistachio Nuts,Nuts and Seeds,560,45.32,20.16,27.17,7.66,10.6,0,5.907,105,3.92,1025,121,516,26,5.6,0,0,2.86
Almonds Salted,Nuts and Seeds,601,53.43,20.13,20.18,4.67,10.5,0,4.336,258,3.59,685,268,NULL,0,0,0,0,23.3
Almonds Flavored,Nuts and Seeds,599,53.27,20.07,20.12,4.65,10.4,0,4.323,257,3.58,683,267,NULL,0,0,0,0,23.23
Trail Mix With Nuts,Nuts and Seeds,600,52.82,20.06,21.18,4.1,8.1,0,7.288,88,3.2,649,205,NULL,0,0.6,0,0,9.89
